127.0.0.1 - - [04/Aug/2022:22:38:11 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:48:31 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3470
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:50:02 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3470
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:50:03 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3470
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:50:04 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3470
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:50:05 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3470
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:50:08 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3470
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:51:11 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:51:17 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:51:26 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:54:40 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:54:40 -0300] "GET /gestao/javax.faces.resource/components.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 96234
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:01:50 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3678
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:02:13 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:02:13 -0300] "GET /gestao/javax.faces.resource/core.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 43146
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:02:13 -0300] "GET /gestao/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 88237
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:02:13 -0300] "GET /gestao/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 267621
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:02:13 -0300] "GET /gestao/javax.faces.resource/components.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 435082
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:02:36 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:03:11 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:03:27 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:04:01 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:04:02 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:04:03 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:04:05 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:04:15 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:10:15 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:10:19 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:11:57 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:11:57 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:11:58 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:11:58 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:12:00 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:12:21 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:12:21 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:12:21 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:15:50 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:15:51 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:15:55 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:19:04 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:21:33 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 2634
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:21:56 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3379
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:24:14 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3758
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:25:15 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3993
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:25:43 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3993
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:25:44 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3993
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:26:28 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10970
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:26:28 -0300] "GET /gestao/javax.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 12512
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:26:28 -0300] "GET /gestao/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3698
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:30:21 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10969
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:30:22 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10969
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:32:37 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10970
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:32:59 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10967
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:33:00 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10968
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:33:00 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10969
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:33:18 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10969
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:35:31 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10969
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:35:32 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10970
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:36:41 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 10968
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:12 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:15 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:16 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:16 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:18 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:18 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:18 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:18 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:19 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:19 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:19 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:21 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:22 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:23 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:23 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:23 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:38:23 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Aug/2022:23:39:11 -0300] "POST /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 285
